time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
4.232832269455145e-004	2.639789e+001	2.204632e+000	4.958763e-002	1.799845e+001	2.111283e-002	4.697947e-005
4.247918428383901e-004	2.639757e+001	2.166149e+000	4.987442e-002	1.799845e+001	2.111191e-002	4.702461e-005
4.264226281116557e-004	2.639722e+001	2.146573e+000	4.960916e-002	1.799844e+001	2.111098e-002	4.698118e-005
4.288153018752183e-004	2.639671e+001	2.160434e+000	4.813085e-002	1.799844e+001	2.110974e-002	4.674323e-005
4.326896324573504e-004	2.639589e+001	2.268136e+000	4.360386e-002	1.799843e+001	2.110797e-002	4.601886e-005
4.366896324572434e-004	2.639503e+001	2.477953e+000	3.652600e-002	1.799842e+001	2.110644e-002	4.489443e-005
4.406896324571363e-004	2.639419e+001	2.783713e+000	2.717575e-002	1.799842e+001	2.110518e-002	4.342372e-005
4.446896324570293e-004	2.639334e+001	3.164672e+000	1.611795e-002	1.799842e+001	2.110415e-002	4.170661e-005
4.486896324569223e-004	2.639248e+001	3.594392e+000	4.047398e-003	1.799841e+001	2.110325e-002	3.986048e-005
4.526896324568153e-004	2.639163e+001	4.043996e+000	-8.277467e-003	1.799841e+001	2.110242e-002	3.800671e-005
4.566896324567082e-004	2.639079e+001	4.484498e+000	-2.008223e-002	1.799841e+001	2.110156e-002	3.626150e-005
4.606896324566012e-004	2.638993e+001	4.888846e+000	-3.062515e-002	1.799840e+001	2.110060e-002	3.472847e-005
4.646896324564942e-004	2.638909e+001	5.233502e+000	-3.924378e-002	1.799840e+001	2.109947e-002	3.349356e-005
4.686896324563872e-004	2.638824e+001	5.505848e+000	-4.559177e-002	1.799839e+001	2.109813e-002	3.259465e-005
4.716361861933915e-004	2.638761e+001	5.654397e+000	-4.865509e-002	1.799839e+001	2.109700e-002	3.216442e-005
4.732832276739263e-004	2.638726e+001	5.711917e+000	-4.958763e-002	1.799838e+001	2.109629e-002	3.203419e-005
4.747918427538966e-004	2.638694e+001	5.745786e+000	-4.987442e-002	1.799838e+001	2.109559e-002	3.199444e-005
4.764226280802308e-004	2.638659e+001	5.763058e+000	-4.960916e-002	1.799838e+001	2.109477e-002	3.203197e-005
4.788153018242536e-004	2.638609e+001	5.751063e+000	-4.813085e-002	1.799837e+001	2.109347e-002	3.224006e-005
4.826896323752994e-004	2.638526e+001	5.656275e+000	-4.360386e-002	1.799837e+001	2.109115e-002	3.288006e-005
4.866896323751924e-004	2.638441e+001	5.469202e+000	-3.652600e-002	1.799835e+001	2.108850e-002	3.388961e-005
4.906896323750853e-004	2.638356e+001	5.191508e+000	-2.717575e-002	1.799834e+001	2.108558e-002	3.524005e-005
4.946896323749783e-004	2.638272e+001	4.837048e+000	-1.611795e-002	1.799833e+001	2.108244e-002	3.686127e-005
4.986896323748713e-004	2.638187e+001	4.425666e+000	-4.047399e-003	1.799832e+001	2.107913e-002	3.865984e-005
5.026896323747643e-004	2.638102e+001	3.981697e+000	8.277467e-003	1.799830e+001	2.107573e-002	4.052608e-005
5.066896323746573e-004	2.638017e+001	3.532775e+000	2.008223e-002	1.799829e+001	2.107230e-002	4.234042e-005
5.106896323745502e-004	2.637932e+001	3.108095e+000	3.062515e-002	1.799828e+001	2.106894e-002	4.398189e-005
5.146896323744432e-004	2.637847e+001	2.736260e+000	3.924378e-002	1.799826e+001	2.106573e-002	4.533768e-005
5.186896323743362e-004	2.637762e+001	2.435972e+000	4.559177e-002	1.799825e+001	2.106273e-002	4.634359e-005
5.216361861621888e-004	2.637700e+001	2.269575e+000	4.865509e-002	1.799824e+001	2.106067e-002	4.683099e-005
